Country,Continent,GDP,CPI,CPI Change (%),Gasoline Price,Minimum wage,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate
Botswana,Africa,"$18,340,510,789 ",149.75,2.80%,$0.71 ,$0.29 ,70.80%,19.50%,25.10%,18.19%
Brazil,South America,"$1,839,758,040,766 ",167.4,3.70%,$1.02 ,$1.53 ,63.90%,14.20%,65.10%,12.08%
Brunei,Asia,"$13,469,422,941 ",99.03,-0.40%,$0.37 ,,64.70%,,8.00%,9.12%
Bulgaria,Europe,"$86,000,000,000 ",114.42,3.10%,$1.11 ,$1.57 ,55.40%,20.20%,28.30%,4.34%
Burkina Faso,Africa,"$15,745,810,235 ",106.58,-3.20%,$0.98 ,$0.34 ,66.40%,15.00%,41.30%,6.26%
Burundi,Africa,"$3,012,334,882 ",182.11,-0.70%,$1.21 ,,79.20%,13.60%,41.20%,1.43%
Ivory Coast,Africa,"$58,792,205,642 ",111.61,-0.90%,$0.93 ,$0.36 ,57.00%,11.80%,50.10%,3.32%
Cape Verde,Africa,"$1,981,845,741 ",110.5,1.10%,$1.02 ,$0.68 ,60.50%,20.10%,37.50%,12.25%
Cambodia,Asia,"$27,089,389,787 ",127.63,2.50%,$0.90 ,,82.30%,17.10%,23.10%,0.68%
Cameroon,Africa,"$38,760,467,033 ",118.65,2.50%,$1.03 ,$0.35 ,76.10%,12.80%,57.70%,3.38%
Canada,North America,"$1,736,425,629,520 ",116.76,1.90%,$0.81 ,$9.51 ,65.10%,12.80%,24.50%,5.56%
Central African Republic,Africa,"$2,220,307,369 ",186.86,37.10%,$1.41 ,$0.37 ,72.00%,8.60%,73.30%,3.68%
Chad,Africa,"$11,314,951,343 ",117.7,-1.00%,$0.78 ,$0.60 ,70.70%,,63.50%,1.89%
Chile,South America,"$282,318,159,745 ",131.91,2.60%,$1.03 ,$2.00 ,62.60%,18.20%,34.00%,7.09%
China,Asia,"$19,910,000,000,000 ",125.08,2.90%,$0.96 ,$0.87 ,68.00%,9.40%,59.20%,4.32%
Colombia,South America,"$323,802,808,108 ",140.95,3.50%,$0.68 ,$1.23 ,68.80%,14.40%,71.20%,9.71%
Comoros,Africa,"$1,185,728,677 ",103.62,-4.30%,,$0.71 ,43.30%,,219.60%,4.34%
Republic of the Congo,Africa,"$10,820,591,131 ",124.74,2.20%,$0.97 ,$0.88 ,69.40%,9.00%,54.30%,9.47%
Costa Rica,North America,"$61,773,944,174 ",128.85,2.10%,$0.98 ,$1.84 ,62.10%,13.60%,58.30%,11.85%
Croatia,Europe,"$60,415,553,039 ",109.82,0.80%,$1.26 ,$2.92 ,51.20%,22.00%,20.50%,6.93%
Cuba,North America,"$100,023,000,000 ",,,$1.40 ,$0.05 ,53.60%,,,1.64%
Cyprus,Europe,"$24,564,647,935 ",102.51,0.30%,$1.23 ,,63.10%,24.50%,22.40%,7.27%
Czech Republic,Europe,"$246,489,245,495 ",116.48,2.80%,$1.17 ,$3.00 ,60.60%,14.90%,46.10%,1.93%
Democratic Republic of the Congo,Africa,"$47,319,624,204 ",133.85,2.90%,$1.49 ,$0.18 ,63.50%,10.70%,50.70%,4.24%
Denmark,Europe,"$348,078,018,464 ",110.35,0.80%,$1.55 ,,62.20%,32.40%,23.80%,4.91%
Djibouti,Africa,"$3,318,716,359 ",120.25,3.30%,$1.32 ,,60.20%,,37.90%,10.30%
Dominica,North America,"$596,033,333 ",103.87,1.00%,,$1.48 ,,22.10%,32.60%,
Dominican Republic,North America,"$88,941,298,258 ",135.5,1.80%,$1.07 ,$0.40 ,64.30%,13.00%,48.80%,5.84%
Ecuador,South America,"$107,435,665,000 ",124.14,0.30%,$0.61 ,$2.46 ,68.00%,,34.40%,3.97%
Egypt,Africa,"$303,175,127,598 ",288.57,9.20%,$0.40 ,,46.40%,12.50%,44.40%,10.76%
El Salvador,North America,"$27,022,640,000 ",111.23,0.10%,$0.83 ,$0.50 ,59.10%,18.10%,36.40%,4.11%
Equatorial Guinea,Africa,"$11,026,774,945 ",124.35,1.20%,,$1.05 ,62.00%,6.10%,79.40%,6.43%
Eritrea,Africa,"$2,065,001,626 ",,,$2.00 ,,78.40%,,83.70%,5.14%
Estonia,Europe,"$31,386,949,981 ",122.14,2.30%,$1.14 ,$3.14 ,63.60%,20.90%,47.80%,5.11%
Eswatini,Africa,"$3,791,304,348 ",,,,,,28.60%,,
Ethiopia,Africa,"$96,107,662,398 ",143.86,15.80%,$0.75 ,,79.60%,7.50%,37.70%,2.08%
Fiji,Oceania,"$5,535,548,972 ",132.3,1.80%,$0.82 ,$1.28 ,57.60%,24.20%,32.10%,4.10%
Finland,Europe,"$268,761,201,365 ",112.33,1.00%,$1.45 ,,59.10%,20.80%,36.60%,6.59%
France,Europe,"$2,715,518,274,227 ",110.05,1.10%,$1.39 ,$11.16 ,55.10%,24.20%,60.70%,8.43%
Gabon,Africa,"$16,657,960,228 ",122.19,2.10%,$0.92 ,$1.46 ,52.90%,10.20%,47.10%,20.00%
The Gambia,Africa,"$1,763,819,048 ",172.73,7.10%,$1.18 ,$0.13 ,59.40%,9.40%,48.40%,9.06%
Georgia,Asia,"$17,743,195,770 ",133.61,4.90%,$0.76 ,$0.05 ,68.30%,21.70%,9.90%,14.40%
Germany,Europe,"$3,845,630,030,824 ",112.85,1.40%,$1.39 ,$9.99 ,60.80%,11.50%,48.80%,3.04%
Ghana,Africa,"$66,983,634,224 ",268.36,7.20%,$0.92 ,$0.27 ,67.80%,12.60%,55.40%,4.33%
Greece,Europe,"$209,852,761,469 ",101.87,0.20%,$1.54 ,$4.46 ,51.80%,26.20%,51.90%,17.24%
Grenada,North America,"$1,228,170,370 ",107.43,0.80%,$1.12 ,,,19.40%,47.80%,
Guatemala,North America,"$76,710,385,880 ",142.92,3.70%,$0.79 ,$1.60 ,62.30%,10.60%,35.20%,2.46%
Guinea,Africa,"$13,590,281,809 ",262.95,9.50%,$0.90 ,,61.50%,10.80%,69.30%,4.30%
Guinea-Bissau,Africa,"$1,340,389,411 ",111.65,1.40%,,$0.16 ,72.00%,10.30%,45.50%,2.47%
Guyana,South America,"$4,280,443,645 ",116.19,2.10%,$0.90 ,$0.98 ,56.20%,,30.60%,11.85%
Haiti,North America,"$8,498,981,821 ",179.29,12.50%,$0.81 ,$0.25 ,67.20%,,42.70%,13.78%
Vatican City,Europe,,,,,,,,,
Honduras,North America,"$25,095,395,475 ",150.34,4.40%,$0.98 ,$1.01 ,68.80%,17.30%,39.10%,5.39%
Hungary,Europe,"$160,967,157,504 ",121.64,3.30%,$1.18 ,$2.62 ,56.50%,23.00%,37.90%,3.40%
Iceland,Europe,"$24,188,035,739 ",129,3.00%,$1.69 ,,75.00%,23.30%,31.90%,2.84%
India,Asia,"$2,611,000,000,000 ",180.44,7.70%,$0.97 ,$0.30 ,49.30%,11.20%,49.70%,5.36%
Indonesia,Asia,"$1,119,190,780,753 ",151.18,3.00%,$0.63 ,$0.48 ,67.50%,10.20%,30.10%,4.69%
Iran,Asia,"$445,345,282,123 ",550.93,39.90%,$0.40 ,$1.58 ,44.70%,7.40%,44.70%,11.38%
Iraq,Asia,"$234,094,042,939 ",119.86,0.40%,$0.61 ,$1.24 ,43.00%,2.00%,30.80%,12.82%
Republic of Ireland,Europe,"$388,698,711,348 ",106.58,0.90%,$1.37 ,$10.79 ,62.10%,18.30%,26.10%,4.93%
Israel,Asia,"$395,098,666,122 ",108.15,0.80%,$1.57 ,$7.58 ,64.00%,23.10%,25.30%,3.86%
Italy,Europe,"$2,001,244,392,042 ",110.62,0.60%,$1.61 ,,49.60%,24.30%,59.10%,9.89%
Jamaica,North America,"$16,458,071,068 ",162.47,3.90%,$1.11 ,$1.33 ,66.00%,26.80%,35.10%,8.00%
Japan,Asia,"$5,081,769,542,380 ",105.48,0.50%,$1.06 ,$6.77 ,61.70%,11.90%,46.70%,2.29%
Jordan,Asia,"$43,743,661,972 ",125.6,0.80%,$1.10 ,$1.49 ,39.30%,15.10%,28.60%,14.72%
Kazakhstan,Asia,"$180,161,741,180 ",182.75,5.20%,$0.42 ,$0.41 ,68.80%,11.70%,28.40%,4.59%
Kenya,Africa,"$95,503,088,538 ",180.51,4.70%,$0.95 ,$0.25 ,74.70%,15.10%,37.20%,2.64%
Kiribati,Oceania,"$194,647,202 ",99.55,0.60%,,,,22.00%,32.70%,
Kuwait,Asia,"$134,761,198,946 ",126.6,1.10%,$0.35 ,$0.95 ,73.50%,1.40%,13.00%,2.18%
Kyrgyzstan,Asia,"$8,454,619,608 ",155.68,1.10%,$0.56 ,$0.09 ,59.80%,18.00%,29.00%,6.33%
Laos,Asia,"$18,173,839,128 ",135.87,3.30%,$0.93 ,$0.83 ,78.50%,12.90%,24.10%,0.63%
Latvia,Europe,"$34,117,202,555 ",116.86,2.80%,$1.16 ,$2.80 ,61.40%,22.90%,38.10%,6.52%
Lebanon,Asia,"$53,367,042,272 ",130.02,3.00%,$0.74 ,$2.15 ,47.00%,15.30%,32.20%,6.23%
Lesotho,Africa,"$2,460,072,444 ",155.86,5.20%,$0.70 ,$0.41 ,67.90%,31.60%,13.60%,23.41%
Liberia,Africa,"$3,070,518,100 ",223.13,23.60%,$0.80 ,$0.17 ,76.30%,12.90%,46.20%,2.81%
Libya,Africa,"$52,076,250,948 ",125.71,2.60%,$0.11 ,$1.88 ,49.70%,,32.60%,18.56%
Liechtenstein,Europe,"$6,552,858,739 ",,,$1.74 ,,,,21.60%,
Lithuania,Europe,"$54,219,315,600 ",118.38,2.30%,$1.16 ,$2.41 ,61.60%,16.90%,42.60%,6.35%
Luxembourg,Europe,"$71,104,919,108 ",115.09,1.70%,$1.19 ,$13.05 ,59.30%,26.50%,20.40%,5.36%
Madagascar,Africa,"$14,083,906,357 ",184.33,5.60%,$1.11 ,$0.21 ,86.10%,10.20%,38.30%,1.76%
Malawi,Africa,"$7,666,704,427 ",418.34,9.40%,$1.15 ,$0.12 ,76.70%,17.30%,34.50%,5.65%
Malaysia,Asia,"$364,701,517,788 ",121.46,0.70%,$0.45 ,$0.93 ,64.30%,12.00%,38.70%,3.32%
Maldives,Asia,"$5,729,248,472 ",99.7,0.20%,$1.63 ,,69.80%,19.50%,30.20%,6.14%
Mali,Africa,"$17,510,141,171 ",108.73,-1.70%,$1.12 ,$0.23 ,70.80%,11.60%,54.50%,7.22%
Malta,Europe,"$14,786,156,563 ",113.45,1.60%,$1.36 ,$5.07 ,56.50%,26.20%,44.00%,3.47%
Marshall Islands,Oceania,"$221,278,000 ",,,$1.44 ,$2.00 ,,17.80%,65.90%,
Mauritania,Africa,"$7,593,752,450 ",135.02,2.30%,$1.13 ,$0.53 ,45.90%,,67.00%,9.55%
Mauritius,Africa,"$14,180,444,557 ",129.91,0.40%,$1.12 ,$0.38 ,58.30%,19.10%,22.20%,6.67%
Mexico,North America,"$1,258,286,717,125 ",141.54,3.60%,$0.73 ,$0.49 ,60.70%,13.10%,55.10%,3.42%
Federated States of Micronesia,Oceania,"$401,932,279 ",112.1,0.50%,,,,25.20%,60.50%,
Moldova,Europe,"$11,955,435,457 ",166.2,4.80%,$0.80 ,$0.31 ,43.10%,17.70%,38.70%,5.47%
Monaco,Europe,"$7,184,844,193 ",,,$2.00 ,$11.72 ,,,,
Mongolia,Asia,"$13,852,850,259 ",195.76,7.30%,$0.72 ,$0.65 ,59.70%,16.80%,25.70%,6.01%
Montenegro,Europe,"$5,494,736,901 ",116.32,2.60%,$1.16 ,$1.23 ,54.40%,,22.20%,14.88%
Morocco,Africa,"$118,725,279,596 ",111.07,0.20%,$0.99 ,$1.60 ,45.30%,21.90%,45.80%,9.02%
Mozambique,Africa,"$14,934,159,926 ",182.31,2.80%,$0.65 ,$0.27 ,78.10%,0.00%,36.10%,3.24%
Myanmar,Asia,"$76,085,852,617 ",168.18,8.80%,$0.54 ,$0.39 ,61.70%,5.40%,31.20%,1.58%
Namibia,Africa,"$12,366,527,719 ",157.97,3.70%,$0.76 ,,59.50%,27.10%,20.70%,20.27%
Nauru,Oceania,"$133,000,000 ",,,,,,,,
Nepal,Asia,"$30,641,380,604 ",188.73,5.60%,$0.91 ,$0.36 ,83.80%,20.70%,41.80%,1.41%
Netherlands,Europe,"$909,070,395,161 ",115.91,2.60%,$1.68 ,$10.29 ,63.60%,23.00%,41.20%,3.20%
New Zealand,Oceania,"$206,928,765,544 ",114.24,1.60%,$1.40 ,$11.49 ,69.90%,29.00%,34.60%,4.07%
Nicaragua,North America,"$12,520,915,291 ",162.74,5.40%,$0.91 ,$0.54 ,66.40%,15.60%,60.60%,6.84%
Niger,Africa,"$12,928,145,120 ",109.32,-2.50%,$0.88 ,$0.29 ,72.00%,11.80%,47.20%,0.47%
Nigeria,Africa,"$448,120,428,859 ",267.51,11.40%,$0.46 ,$0.54 ,52.90%,1.50%,34.80%,8.10%
North Korea,Asia,"$32,100,000,000 ",,,$0.58 ,,80.40%,,,2.74%
North Macedonia,Europe,"$10,220,781,069 ",,,,,,,,
Norway,Europe,"$403,336,363,636 ",120.27,2.20%,$1.78 ,,63.80%,23.90%,36.20%,3.35%
Oman,Asia,"$76,983,094,928 ",113.53,0.10%,$0.45 ,$4.33 ,72.40%,2.50%,27.40%,2.67%
Pakistan,Asia,"$304,400,000,000 ",182.32,10.60%,$0.79 ,$0.69 ,52.60%,9.20%,33.90%,4.45%
Palau,Oceania,"$283,994,900 ",118.17,1.30%,,$3.00 ,,21.30%,76.60%,
Panama,North America,"$66,800,800,000 ",122.07,-0.40%,$0.74 ,$1.53 ,66.60%,,37.20%,3.90%
Papua New Guinea,Oceania,"$24,969,611,435 ",155.99,3.60%,$1.36 ,$1.16 ,47.20%,13.60%,37.10%,2.46%
Paraguay,South America,"$38,145,288,940 ",143.82,2.80%,$1.04 ,$1.55 ,72.10%,10.00%,35.00%,4.81%
Peru,South America,"$226,848,050,820 ",129.78,2.10%,$0.99 ,$1.28 ,77.60%,14.30%,36.80%,3.31%
Philippines,Asia,"$376,795,508,680 ",129.61,2.50%,$0.86 ,$1.12 ,59.60%,14.00%,43.10%,2.15%
Poland,Europe,"$592,164,400,688 ",114.11,2.20%,$1.07 ,$2.93 ,56.70%,17.40%,40.80%,3.47%
Portugal,Europe,"$237,686,075,635 ",110.62,0.30%,$1.54 ,$3.78 ,58.80%,22.80%,39.80%,6.33%
Qatar,Asia,"$183,466,208,791 ",115.38,-0.70%,$0.40 ,,86.80%,14.70%,11.30%,0.09%
Romania,Europe,"$250,077,444,017 ",123.78,3.80%,$1.16 ,$2.25 ,54.70%,14.60%,20.00%,3.98%
Russia,Europe,"$1,699,876,578,871 ",180.75,4.50%,$0.59 ,$0.53 ,61.80%,11.40%,46.20%,4.59%
Rwanda,Africa,"$10,122,472,590 ",151.09,3.40%,$1.17 ,,83.70%,14.30%,33.20%,1.03%
Saint Kitts and Nevis,North America,"$1,050,992,593 ",104.57,-1.00%,,$3.33 ,,18.50%,49.70%,
Saint Lucia,North America,"$2,122,450,630 ",110.13,1.90%,$1.30 ,,67.10%,18.20%,34.70%,20.71%
Saint Vincent and the Grenadines,North America,"$825,385,185 ",109.67,2.30%,,$1.16 ,65.90%,25.40%,37.00%,18.88%
Samoa,Oceania,"$850,655,017 ",117.56,1.00%,$0.91 ,$0.78 ,43.70%,25.50%,19.30%,8.36%
San Marino,Europe,"$1,637,931,034 ",110.63,1.00%,,,,18.10%,36.20%,
Sao Teme and Principe,Africa,"$429,016,605 ",185.09,7.90%,,,57.80%,14.60%,37.00%,13.37%
Saudi Arabia,Asia,"$792,966,838,162 ",118.4,-1.20%,$0.24 ,$3.85 ,55.90%,8.90%,15.70%,5.93%
Senegal,Africa,"$23,578,084,052 ",109.25,1.80%,$1.14 ,$0.31 ,45.70%,16.30%,44.80%,6.60%
Serbia,Europe,"$51,409,167,351 ",144,1.80%,$1.16 ,$1.57 ,54.90%,18.60%,36.60%,12.69%
Seychelles,Africa,"$1,698,843,063 ",129.96,1.80%,,$2.00 ,,34.10%,30.10%,
Sierra Leone,Africa,"$3,941,474,311 ",234.16,14.80%,$1.08 ,$0.57 ,57.90%,8.60%,30.70%,4.43%
Singapore,Asia,"$372,062,527,489 ",114.41,0.60%,$1.25 ,,70.50%,13.10%,21.00%,4.11%
Slovakia,Europe,"$105,422,304,976 ",115.34,2.70%,$1.32 ,$3.11 ,59.50%,18.70%,49.70%,5.56%
Slovenia,Europe,"$53,742,159,517 ",111.05,1.60%,$1.32 ,$5.25 ,58.40%,18.60%,31.00%,4.20%
Solomon Islands,Oceania,"$1,425,074,226 ",133.06,1.60%,,$0.40 ,83.80%,29.50%,32.00%,0.58%
Somalia,Africa,"$4,720,727,278 ",,,$1.41 ,,47.40%,0.00%,,11.35%
South Africa,Africa,"$351,431,649,241 ",158.93,4.10%,$0.92 ,,56.00%,27.50%,29.20%,28.18%
South Korea,Asia,"$2,029,000,000,000 ",115.16,0.40%,$1.22 ,$6.49 ,63.00%,15.60%,33.20%,4.15%
South Sudan,Africa,"$11,997,800,751 ","4,583.71",187.90%,$0.28 ,,72.40%,,31.40%,12.24%
Spain,Europe,"$1,394,116,310,769 ",110.96,0.70%,$1.26 ,$5.60 ,57.50%,14.20%,47.00%,13.96%
Sri Lanka,Asia,"$84,008,783,756 ",155.53,3.50%,$0.88 ,$0.35 ,53.90%,11.90%,55.20%,4.20%
Sudan,Africa,"$18,902,284,476 ","1,344.19",51.00%,$0.95 ,$0.41 ,48.40%,8.00%,45.40%,16.53%
Suriname,South America,"$3,985,250,737 ",294.66,22.00%,$1.29 ,,51.10%,19.50%,27.90%,7.33%
Sweden,Europe,"$530,832,908,738 ",110.51,1.80%,$1.42 ,,64.60%,27.90%,49.10%,6.48%
Switzerland,Europe,"$703,082,435,360 ",99.55,0.40%,$1.45 ,,68.30%,10.10%,28.80%,4.58%
Syria,Asia,"$40,405,006,007 ",143.2,36.70%,$0.83 ,$1.02 ,44.10%,14.20%,42.70%,8.37%
Tajikistan,Asia,"$8,116,626,794 ",148.57,6.00%,$0.71 ,$0.23 ,42.00%,9.80%,67.30%,11.02%
Tanzania,Africa,"$63,177,068,175 ",187.43,3.50%,$0.87 ,$0.09 ,83.40%,11.50%,43.80%,1.98%
Thailand,Asia,"$543,649,976,166 ",113.27,0.70%,$0.71 ,$1.06 ,67.30%,14.90%,29.50%,0.75%
East Timor,Asia,"$1,673,540,300 ",145.38,2.60%,$1.10 ,$0.60 ,67.30%,25.00%,17.30%,4.55%
Togo,Africa,"$5,459,979,417 ",113.3,0.70%,$0.71 ,$0.34 ,77.60%,16.90%,48.20%,2.04%
Tonga,Oceania,"$450,353,314 ",121.09,7.40%,,,59.80%,22.30%,27.50%,1.12%
Trinidad and Tobago,North America,"$24,100,202,834 ",141.75,1.00%,$0.54 ,$2.25 ,60.00%,19.50%,40.50%,2.69%
Tunisia,Africa,"$38,797,709,924 ",155.33,6.70%,$0.73 ,$0.47 ,46.10%,21.10%,60.70%,16.02%
Turkey,Europe,"$754,411,708,203 ",234.44,15.20%,$1.42 ,$3.45 ,52.80%,17.90%,42.30%,13.49%
Turkmenistan,Asia,"$40,761,142,857 ",,,$0.29 ,$0.88 ,64.50%,,,3.91%
Tuvalu,Oceania,"$47,271,463 ",,,,,,,,
Uganda,Africa,"$34,387,229,486 ",173.87,2.90%,$0.94 ,$0.01 ,70.30%,11.70%,33.70%,1.84%
Ukraine,Europe,"$153,781,069,118 ",281.66,7.90%,$0.83 ,$0.84 ,54.20%,20.10%,45.20%,8.88%
United Arab Emirates,Asia,"$421,142,267,938 ",114.52,-1.90%,$0.49 ,,82.10%,0.10%,15.90%,2.35%
United Kingdom,Europe,"$2,827,113,184,696 ",119.62,1.70%,$1.46 ,$10.13 ,62.80%,25.50%,30.60%,3.85%
United States,North America,"$21,427,700,000,000 ",117.24,7.50%,$0.71 ,$7.25 ,62.00%,9.60%,36.60%,14.70%
Uruguay,South America,"$56,045,912,952 ",202.92,7.90%,$1.50 ,$1.66 ,64.00%,20.10%,41.80%,8.73%
Uzbekistan,Asia,"$57,921,286,440 ",,,$1.03 ,$0.24 ,65.10%,14.80%,31.60%,5.92%
Vanuatu,Oceania,"$917,058,851 ",117.13,2.80%,$1.31 ,$1.56 ,69.90%,17.80%,8.50%,4.39%
Venezuela,South America,"$482,359,318,768 ","2,740.27",254.90%,$0.00 ,$0.01 ,59.70%,,73.30%,8.80%
Vietnam,Asia,"$261,921,244,843 ",163.52,2.80%,$0.80 ,$0.73 ,77.40%,19.10%,37.60%,2.01%
Yemen,Asia,"$26,914,402,224 ",157.58,8.10%,$0.92 ,,38.00%,,26.60%,12.91%
Zambia,Africa,"$23,064,722,446 ",212.31,9.20%,$1.40 ,$0.24 ,74.60%,16.20%,15.60%,11.43%
Zimbabwe,Africa,"$21,440,758,800 ",105.51,0.90%,$1.34 ,,83.10%,20.70%,31.60%,4.95%
